,portfolio_value,returns
2020-07-27 10:00:00+00:00,99156.29544530809,-0.0023995220165349274
2020-07-28 10:00:00+00:00,99225.19544530808,0.0006948625872980063
2020-07-29 10:00:00+00:00,99341.79544530809,0.0011751047652435176
2020-07-30 10:00:00+00:00,99124.49544530809,-0.002187397550305503
2020-07-31 10:00:00+00:00,99124.49544530809,0.0
2020-08-03 10:00:00+00:00,99408.04544530809,0.002860544194713821
2020-08-04 10:00:00+00:00,99394.79544530809,-0.00013328901036802066
2020-08-05 10:00:00+00:00,99392.14544530808,-2.666135573947681e-05
2020-08-06 10:00:00+00:00,99352.39544530808,-0.0003999309987918753
2020-08-07 10:00:00+00:00,99336.49544530809,-0.00016003640303507982
2020-08-10 10:00:00+00:00,99492.84544530808,0.0015739431847188179
2020-08-11 10:00:00+00:00,99582.94544530808,0.0009055927549033171
2020-08-12 10:00:00+00:00,100001.39544530808,0.0042020247355489815
2020-08-13 10:00:00+00:00,99941.59544530808,-0.0005979916553534581
2020-08-14 10:00:00+00:00,99655.59544530808,-0.002861671346406691
2020-08-17 10:00:00+00:00,99481.39544530808,-0.0017480202613971985
2020-08-18 10:00:00+00:00,99564.59544530808,0.0008363372832433935
2020-08-19 10:00:00+00:00,99673.79544530809,0.001096775410090567
2020-08-20 10:00:00+00:00,99556.79544530809,-0.001173829083936151
2020-08-21 10:00:00+00:00,99725.79544530809,0.0016975235014755619
2020-08-24 10:00:00+00:00,99873.99544530809,0.0014860748850209493
2020-08-25 10:00:00+00:00,100248.39544530808,0.0037487235624313886
2020-08-26 10:00:00+00:00,100331.59544530808,0.000829938470639835
2020-08-27 10:00:00+00:00,100648.79544530653,0.00316151655508512
2020-08-28 10:00:00+00:00,101096.89544530504,0.004452114881414726
2020-08-31 10:00:00+00:00,100461.29544530142,-0.006287037769102333
2020-09-01 10:00:00+00:00,100776.19544530142,0.0031345405074081345
2020-09-02 10:00:00+00:00,100665.74544530142,-0.0010959929526209722
2020-09-03 10:00:00+00:00,100529.44544530142,-0.0013539859005371468
2020-09-04 10:00:00+00:00,100254.49544530142,-0.0027350195634927577
2020-09-07 10:00:00+00:00,100289.74544530142,0.00035160518082921755
2020-09-08 10:00:00+00:00,100054.74544530142,-0.0023432106538566755
2020-09-09 10:00:00+00:00,99702.24544530142,-0.0035230712789400265
2020-09-10 10:00:00+00:00,99833.84544530143,0.0013199301521469309
2020-09-11 10:00:00+00:00,100073.54544530142,0.002400989353168015
2020-09-14 10:00:00+00:00,99824.44544530142,-0.002489169329332297
2020-09-15 10:00:00+00:00,99890.24544530142,0.0006591571804528407
2020-09-16 10:00:00+00:00,99815.04544530142,-0.0007528262611103953
