,transaction_str,txn_id
74,"[{'amount': 4, 'dt': Timestamp('2016-04-25 04:16:00+0000', tz='UTC'), 'price': 99.25000014813804, 'order_id': 'f3cf1225632c4c86843f3b09de9a5911', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -3, 'dt': Timestamp('2016-04-25 04:16:00+0000', tz='UTC'), 'price': 201.8499999835766, 'order_id': 'cbef441a9f8d4f3db544115f74b72fa1', 'sid': Equity(7 [SBIN]), 'commission': None}]",74
75,"[{'amount': -4, 'dt': Timestamp('2016-04-26 04:16:00+0000', tz='UTC'), 'price': 102.09999998293685, 'order_id': '5bc498221c8041b6a4e330bd1480f138', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 2, 'dt': Timestamp('2016-04-26 04:16:00+0000', tz='UTC'), 'price': 195.10000014065366, 'order_id': '51875b9296dc412eab7f788332029788', 'sid': Equity(7 [SBIN]), 'commission': None}]",75
76,"[{'amount': -1, 'dt': Timestamp('2016-04-27 04:16:00+0000', tz='UTC'), 'price': 103.89999994562355, 'order_id': '6a443b3ceb6d4dce9714ff6f46b7b7fc', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",76
77,"[{'amount': 2, 'dt': Timestamp('2016-04-28 04:16:00+0000', tz='UTC'), 'price': 101.20000027804421, 'order_id': 'be8817f7219345259b69cf4c10721398', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",77
78,"[{'amount': 3, 'dt': Timestamp('2016-04-29 04:16:00+0000', tz='UTC'), 'price': 98.05000000653604, 'order_id': '3a4fd122705441f78a3ed38974b6dc8f', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",78
79,"[{'amount': 2, 'dt': Timestamp('2016-05-02 04:16:00+0000', tz='UTC'), 'price': 187.2500001055074, 'order_id': 'a21c5cb5e09d451c9822661d4c53364a', 'sid': Equity(7 [SBIN]), 'commission': None}]",79
80,"[{'amount': -2, 'dt': Timestamp('2016-05-03 04:16:00+0000', tz='UTC'), 'price': 100.39999999912472, 'order_id': '290a399d773b497ebc982d841fa47ffc', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",80
81,"[{'amount': 6, 'dt': Timestamp('2016-05-04 04:16:00+0000', tz='UTC'), 'price': 94.60000032550111, 'order_id': 'b8fe0403101e4253b2e4239084459b55', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-05-04 04:16:00+0000', tz='UTC'), 'price': 182.75000001124687, 'order_id': 'c2d97841b14d403b801cecbd3811e764', 'sid': Equity(7 [SBIN]), 'commission': None}]",81
82,"[{'amount': 2, 'dt': Timestamp('2016-05-05 04:16:00+0000', tz='UTC'), 'price': 92.95000000307161, 'order_id': 'a99f9542bbb24f6fbbf283adf2e006cb', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 2, 'dt': Timestamp('2016-05-05 04:16:00+0000', tz='UTC'), 'price': 179.25000000386774, 'order_id': '08947d9f9cbb47e793cba0954c5a34aa', 'sid': Equity(7 [SBIN]), 'commission': None}]",82
83,"[{'amount': 5, 'dt': Timestamp('2016-05-06 04:16:00+0000', tz='UTC'), 'price': 90.10000009924791, 'order_id': '0a170f4d85b440f382dbaa8c67c82bdf', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",83
84,"[{'amount': -3, 'dt': Timestamp('2016-05-09 04:16:00+0000', tz='UTC'), 'price': 93.54999987198907, 'order_id': 'd3ca13be74ef4c289ec7df143ee0883e', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -1, 'dt': Timestamp('2016-05-09 04:16:00+0000', tz='UTC'), 'price': 186.34999998811125, 'order_id': '5d89ef65b80b4ac186323cd755ac667e', 'sid': Equity(7 [SBIN]), 'commission': None}]",84
